validation_loss,validation_0_f1,validation_1_f1,validation_2_f1,validation_mean,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
0.37351372838020325,0.813529908657074,0.6213263869285583,0.8536585569381714,0.7799709439277649,2419.207798242569,False,,,1,9831da02,01cbc16f5a96411c82271289fa5a3081,2022-07-17_11-55-15,1658030115,2419.207798242569,11327,localhost.localdomain,192.168.249.74,2419.207798242569,0,1
0.4032145142555237,0.7070308923721313,0.4622912108898163,0.8383696675300598,0.6944380402565002,2418.6177122592926,False,,,2,9831da02,01cbc16f5a96411c82271289fa5a3081,2022-07-17_12-35-34,1658032534,4837.825510501862,11327,localhost.localdomain,192.168.249.74,4837.825510501862,0,2
0.40175139904022217,0.7656332850456238,0.5791125297546387,0.8498590588569641,0.7441664934158325,2419.395754814148,False,,,3,9831da02,01cbc16f5a96411c82271289fa5a3081,2022-07-17_13-15-53,1658034953,7257.2212653160095,11327,localhost.localdomain,192.168.249.74,7257.2212653160095,0,3
0.35233068466186523,0.8978438377380371,0.7440904378890991,0.7185768485069275,0.7935888767242432,2418.9763951301575,False,,,4,9831da02,01cbc16f5a96411c82271289fa5a3081,2022-07-17_13-56-12,1658037372,9676.197660446167,11327,localhost.localdomain,192.168.249.74,9676.197660446167,0,4
0.38455870747566223,0.8182756304740906,0.6167952418327332,0.6535168290138245,0.7081325054168701,2419.7705130577087,False,,,5,9831da02,01cbc16f5a96411c82271289fa5a3081,2022-07-17_14-36-32,1658039792,12095.968173503876,11327,localhost.localdomain,192.168.249.74,12095.968173503876,0,5
0.32189080119132996,0.9111358523368835,0.8287374377250671,0.8566974401473999,0.8652742505073547,2421.6466796398163,False,,,6,9831da02,01cbc16f5a96411c82271289fa5a3081,2022-07-17_15-16-53,1658042213,14517.614853143692,11327,localhost.localdomain,192.168.249.74,14517.614853143692,0,6
0.3843235671520233,0.8643328547477722,0.6573439836502075,0.5187563300132751,0.704001247882843,2415.3145728111267,False,,,7,9831da02,01cbc16f5a96411c82271289fa5a3081,2022-07-17_15-57-09,1658044629,16932.92942595482,11327,localhost.localdomain,192.168.249.74,16932.92942595482,0,7
0.3520612120628357,0.9127124547958374,0.7470965385437012,0.6641279458999634,0.7870094180107117,2417.9489839076996,False,,,8,9831da02,01cbc16f5a96411c82271289fa5a3081,2022-07-17_16-37-27,1658047047,19350.87840986252,11327,localhost.localdomain,192.168.249.74,19350.87840986252,0,8
0.3261279761791229,0.9049878716468811,0.8149125576019287,0.8374305963516235,0.8541045188903809,2415.3078429698944,False,,,9,9831da02,01cbc16f5a96411c82271289fa5a3081,2022-07-17_17-17-42,1658049462,21766.186252832413,11327,localhost.localdomain,192.168.249.74,21766.186252832413,0,9
0.4052022397518158,0.8888158798217773,0.6479865908622742,0.27959945797920227,0.6603167057037354,2416.1265301704407,False,,,10,9831da02,01cbc16f5a96411c82271289fa5a3081,2022-07-17_17-57-58,1658051878,24182.312783002853,11327,localhost.localdomain,192.168.249.74,24182.312783002853,0,10
0.3501448333263397,0.9235193729400635,0.7549681663513184,0.6575928926467896,0.7911406755447388,2418.0373294353485,False,,,11,9831da02,01cbc16f5a96411c82271289fa5a3081,2022-07-17_18-38-16,1658054296,26600.350112438202,11327,localhost.localdomain,192.168.249.74,26600.350112438202,0,11
0.34826967120170593,0.8530713319778442,0.746764063835144,0.7924373149871826,0.7971845865249634,2417.8364243507385,False,,,12,9831da02,01cbc16f5a96411c82271289fa5a3081,2022-07-17_19-18-34,1658056714,29018.18653678894,11327,localhost.localdomain,192.168.249.74,29018.18653678894,0,12
